Time,url,Description,Validity,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/collections/gq,View All,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/conde-nast-brand/cartoonbank,,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/conde-nast-brand/cartoonbank,The New Yorker Cartoons,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/collections/new+yorker+cartoons,New Yorker Cartoons,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/collections/new+yorker+cartoons/animals,Animals,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/collections/new+yorker+cartoons/business,Business,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/collections/new+yorker+cartoons/family,Family,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/collections/new+yorker+cartoons/fashion,Fashion,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/collections/new+yorker+cartoons/government,Government,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/collections/new+yorker+cartoons/money,Money,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/collections/new+yorker+cartoons,View All,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/art/fashion,Fashion,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/art/dress,Dress,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/art/hat,Hats,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/art/accessories,Accessories,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/art/advertising,Advertising,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/art/new+york,New York,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/art/vanity,Vanity,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/art/politics,Politics,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/art/government,Government,200,,,,
"Wednesday January 24, 2018 12:43 AM",https://condenaststore.com/art/president,President,"200""Wednesday January 24"," 2018 12:44 AM""",https://condenaststore.com/art/flag,Flag,200
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/military,Military,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/history,History,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/education,Education,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/animal,Animals,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/dog,Dog,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/cat,Cat,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/horse,Horse,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/pets,Pets,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/farm,Farm,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/zoo,Zoo,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/leisure,Leisure,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/summer,Summer,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/sports,Sports,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/museums,Museums,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/cooking,Cooking,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/drinking,Drinking,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/holidays,Holidays,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/travel,Travel,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/landscape,Landscape,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/exterior,Exterior,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/city,City,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/food,Food,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/midwest,Midwest,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/season,Seasons,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/all/all/all,Featured Contributors,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/arthur+getz,Arthur Getz,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/jean-jacques+sempe,Jean-Jacques Sempe,200,,,,
"Wednesday January 24, 2018 12:44 AM",https://condenaststore.com/art/barry+blitt,Barry Blitt,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/art/abe+birnbaum,Abe Birnbaum,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/art/black+and+white,Black and White,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/art/black+and+white+photography/fashion,Fashion,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/art/black+and+white+photography/architecture,Architecture,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/art/black+and+white+photography/woman,Women,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/art/black+and+white+photography/film,Film,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/collections/fashion,Fashion,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/collections/fashion/dress,Dress to Impress,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/collections/fashion/beach,Day at the Beach,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/collections/fashion/illustration,Illustrations,200,,,,
"Wednesday January 24, 2018 12:45 AM",https://condenaststore.com/collections/black+and+white/all/fashion,Black and White,404,,,,
